الحي,Google Maps Link
الصحافة,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B5%D8%AD%D8%A7%D9%81%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
النرجس,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%86%D8%B1%D8%AC%D8%B3%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الياسمين,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
العارض,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B9%D8%A7%D8%B1%D8%B6%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
القيروان,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%82%D9%8A%D8%B1%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الربيع,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B1%D8%A8%D9%8A%D8%B9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الندى,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%86%D8%AF%D9%89%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الغدير,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%BA%D8%AF%D9%8A%D8%B1%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الملقا,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%85%D9%84%D9%82%D8%A7%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
المرسلات,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%85%D8%B1%D8%B3%D9%84%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
المروج,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%85%D8%B1%D9%88%D8%AC%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الازدهار,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%A7%D8%B2%D8%AF%D9%87%D8%A7%D8%B1%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الفلاح,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%81%D9%84%D8%A7%D8%AD%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
العقيق,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B9%D9%82%D9%8A%D9%82%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
السمحان,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B3%D9%85%D8%AD%D8%A7%D9%86%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
حطين,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%AD%D8%B7%D9%8A%D9%86%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
النخيل,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%86%D8%AE%D9%8A%D9%84%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الربوة,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B1%D8%A8%D9%88%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الورود,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%88%D8%B1%D9%88%D8%AF%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الرحمانية,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A7%D9%86%D9%8A%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الرائد,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B1%D8%A7%D8%A6%D8%AF%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الوادي,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%88%D8%A7%D8%AF%D9%8A%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
السامرية,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B3%D8%A7%D9%85%D8%B1%D9%8A%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الشفا,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B4%D9%81%D8%A7%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الدار البيضاء,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%AF%D8%A7%D8%B1%20%D8%A7%D9%84%D8%A8%D9%8A%D8%B6%D8%A7%D8%A1%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
العزيزية,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%D9%8A%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
المنصورة,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%85%D9%86%D8%B5%D9%88%D8%B1%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
منفوحة,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D9%85%D9%86%D9%81%D9%88%D8%AD%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
منفوحة الجديدة,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D9%85%D9%86%D9%81%D9%88%D8%AD%D8%A9%20%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
السلام,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
النسيم الشرقي,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%86%D8%B3%D9%8A%D9%85%20%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
النسيم الغربي,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%86%D8%B3%D9%8A%D9%85%20%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الفيحاء,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%81%D9%8A%D8%AD%D8%A7%D8%A1%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
المنار,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B1%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الروابي,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%A8%D9%8A%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
النهضة,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%86%D9%87%D8%B6%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
الريان,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D9%86%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
النظيم,https://www.google.com/maps/search/%D8%B5%D8%A7%D9%84%D9%88%D9%86%20%D8%AD%D9%84%D8%A7%D9%82%D8%A9%20%D8%B1%D8%AC%D8%A7%D9%84%20%D8%A7%D9%84%D9%86%D8%B8%D9%8A%D9%85%20%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6
